group_col,group_value,n,mae,rmse,r2,anomaly_rate,mean_residual
Transmission,CVT,636,0.04727149765616213,0.08818111121555385,0.6142893867289516,0.0330188679245283,-0.018250339188068294
Transmission,NO DATA,62,0.26891082221388785,0.346560854687605,-0.456092995084709,0.7419354838709677,0.23236452548714898
