trip_id,mean_jaccard_top5,mean_sign_consistency,mean_local_r2,mean_local_rmse
536_340,1.0,0.725,0.5528249806907788,0.012504504457396391
11_3013,0.7500000000000001,0.6708333333333334,0.47019748172892345,0.019150015725075444
443_1365,0.7380952380952382,0.6904761904761906,0.5803748799088927,0.014702576355759014
560_141,0.7261904761904763,0.8125,0.5265008721974144,0.003282075288939682
