variant,n_model_features,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
clean,20,0.05893420677890231,0.08849983941141691,0.7319625930355973,0.0666962025253567,0.12755499301551348,0.576294672738321
leaky,24,0.02708557881839496,0.04192170491534084,0.9398565528998908,0.04153286317396207,0.08589540933695966,0.8078639291754377
