trip_id,method,local_r2,local_rmse,top_features
560_141,LIME,0.10111311351626939,0.0041248078542960726,Generalized_Weight:0.0112 | speed_mean:-0.0011 | distance_km:0.0005 | duration_min:0.0001 | Drive Wheels_FWD:-0.0000 | VehicleType_PHEV:-0.0000 | Transmission_CVT:-0.0000 | Vehicle Class_Car:-0.0000 | speed_var:0.0000 | accel_mean:0.0000
536_340,LIME,0.8557356464421145,0.01833213317592748,speed_var:-4.0517 | speed_mean:-0.1761 | Generalized_Weight:0.0194 | duration_min:-0.0052 | distance_km:-0.0042 | idle_time_min:0.0015 | accel_p95:0.0015 | accel_var:0.0013 | Vehicle Class_Car:-0.0012 | VehicleType_PHEV:0.0012
11_3013,LIME,0.8171788586202189,0.014160867416083788,speed_var:-3.1555 | speed_mean:-0.0543 | Generalized_Weight:0.0159 | duration_min:-0.0118 | distance_km:-0.0073 | idle_time_min:0.0030 | accel_p95:0.0012 | Vehicle Class_Car:-0.0009 | VehicleType_PHEV:0.0009 | Transmission_CVT:-0.0008
443_1365,LIME,0.8305564292063777,0.012997125160314628,speed_var:-1.7238 | speed_mean:-0.0541 | Generalized_Weight:0.0161 | idle_time_min:0.0109 | duration_min:-0.0080 | distance_km:-0.0064 | Transmission_CVT:-0.0008 | VehicleType_PHEV:0.0008 | accel_p95:0.0008 | Vehicle Class_Car:-0.0008
