split,n_trips,n_vehicles,anomaly_rate,mean_target,mean_residual
test,698,5,0.05873925501432665,0.4016212294111404,0.0040105800237704835
train,1957,14,0.0,0.3204192616097924,0.004288247713633812
val,594,5,0.0,0.3523107419406505,-0.0027339009005160697
